id,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,pval,padj,neg_log10_padj
ABCF3,1178.14534795888,816.558899501723,1338.85043616207,1.6396250619264,0.713365947073986,0.0267520047476144,0.0810369980352598,1.0913166555163507
ABCG2,193.523828884756,89.9887749263073,239.539408421845,2.66188098035567,1.41244606603216,0.00277413737019486,0.0121145974004335,1.916691014021351
ABHD12B,164.510458391823,21.803282096754,227.93587007852,10.4541999258201,3.38601074962029,7.06975813331578e-11,1.23879836891026e-09,8.906999375137772
ABHD14B,731.320542720425,1023.18116446722,601.604710832961,0.587974770964654,-0.766173842181256,0.0295512985955695,0.0879583004021642,1.0557231710017068
ABHD15,533.957308641972,363.425821026398,609.749080915561,1.67778139482079,0.746554753231134,0.0287354439719515,0.0858511196928422,1.0662540362834758
ABHD5,1195.79715036691,635.800887709811,1444.68437821451,2.27222768344716,1.1841074040866,0.000361269056875437,0.00198754695419147,2.7016826026939404
ABL1,3202.83432365781,2229.47753538836,3635.43734066646,1.63062299707505,0.705423266954317,0.00785608385033295,0.0294929253920641,1.530282147806986
ABTB1,916.432643580418,587.84629826234,1062.47101927734,1.80739595097899,0.853912595819621,0.0115327699745284,0.0404671763461676,1.3928970980561854
ACACA,2627.08002592617,1787.65487484275,3000.15787085214,1.67826458734998,0.746970182265285,0.012236035232523,0.042495569576894,1.3716563454462527
ACAD8,1323.16667501003,865.2779307614,1526.67278356497,1.7643727284499,0.819155366271537,0.00892697548215084,0.0328016624662623,1.4841041446533385
ACADVL,8627.47047987318,4615.68368883296,10410.4868314466,2.25545932808035,1.17342127067007,5.04936260216426e-05,0.000338345912797029,3.4706390654060715
ACAP3,1771.0161288523,1008.12319149113,2110.07965656838,2.09307718975033,1.06562551714382,0.00063727616936024,0.00330864346003402,2.4803500299638928
ACBD4,401.602724950333,175.843562979163,501.940130270853,2.85446974439623,1.51322277074408,5.50074369388729e-05,0.000365274396498873,3.437380768108233
ACCS,524.627241186887,352.387997357464,601.178016222186,1.70601161427285,0.770627468342494,0.0329453282921289,0.0958148572612162,1.0185671430480439
ACE,355.267313975189,70.9062485948497,481.650009699785,6.79277241772976,2.76400051953108,1.16974924075803e-11,2.29657490993643e-10,9.638919384149196
ACIN1,7274.40197400454,5278.97514448605,8161.25834267943,1.54599294736289,0.628533737873503,0.0315581643191083,0.0925873477239976,1.033448356612599
ACOT11,129.397175080082,61.9873979351694,159.357076033377,2.57079795799855,1.36221623154562,0.0130109907433934,0.0447468273407479,1.3492377517950438
ACOXL,209.347129494902,26.3117067424709,290.696206273761,11.0481698933097,3.46573550481961,4.19502779169597e-13,9.75222215323286e-12,11.01089641415503
ACPL2,1584.98845290535,3389.71741842816,782.886690450773,0.23095927884567,-2.11428958690901,1.18236094339748e-10,2.00901038842981e-09,8.697017817544396
ACPP,175.93146240075,70.4325469587199,222.819869263874,3.16359238569731,1.66156372717604,0.000656526245805596,0.00339798548754024,2.4687784802917676
ACPT,169.301153557046,69.0270905174417,213.86740379687,3.09831114412725,1.63148203229701,0.000556770535898864,0.00293633418299325,2.5321945190656434
ACSBG1,287.192842572997,571.127029974927,160.999870394361,0.281898530352222,-1.82675213829541,1.1187269881029e-05,8.65947814424428e-05,4.062508279565104
ACSF2,465.560036746865,283.704307672971,546.384805224151,1.92589534401422,0.945529307140856,0.00651019717964691,0.0251751569832525,1.5990278126612263
ACSL1,1638.39679784461,756.881372064334,2030.18143152473,2.68229805416875,1.42346955692159,8.25772349575294e-06,6.59207106853443e-05,4.180978119195351
ACSL6,1023.71361452101,123.700229505619,1423.71956341674,11.5094334837274,3.52474491790299,2.97784065732323e-22,1.63060040368582e-20,19.787652454494204
ACTA1,401.067404952653,1267.92345800157,15.7980480420239,0.012459780550889,-6.32657753079742,5.40209679559917e-26,4.32723387889767e-24,23.36378963136246
ACTA2,512.769605005084,846.705144857518,364.353809515113,0.430319588499047,-1.21651958045006,0.000529721356427121,0.00280530184147918,2.5520204032006055
ACTB,93439.0192450347,135287.51717547,74839.686831508,0.553189890641868,-0.854153302921927,0.00193935289973218,0.00888136195636906,2.0515204300794094
ACTC1,290.166946087742,941.002263682767,0.906804934397589,0.000963658611031028,-10.0191902366245,2.62661082855184e-29,2.83229466112613e-27,26.54786156629154
ACTG1,52891.2698021759,69763.3486907109,45392.5680739381,0.650664982771708,-0.620013181452605,0.0276411726089515,0.0831846195002751,1.0799569655799854
ACTN1,3092.77699007404,1780.49525722189,3676.01331578611,2.06460157693528,1.04586339983441,0.00100423252661061,0.00496905455631044,2.30372623501649
ACTN2,131.231395401447,421.924165236601,2.03460880804577,0.00482221445388137,-7.69608847265333,1.18325788421372e-14,3.2523351021388e-13,12.48780471353552
ACTN4,4368.85103442362,2508.85033523595,5195.51801184036,2.07087602591159,1.05024118844199,0.000282369878485454,0.00160318386253912,2.7950166673482055
ACTR3,9235.5299452506,12922.2985135566,7596.96613711459,0.587895886257752,-0.766367412069103,0.00507356401725731,0.0203029461586962,1.692440937080581
ACTR3C,128.09328023993,72.7211239939246,152.703127460377,2.09984553419628,1.07028320634607,0.0340840111545427,0.0984321525266543,1.006863017584257
ACTR5,850.814781366635,440.585530468533,1033.1388928769,2.34492243033544,1.22954019940533,0.000188452992950057,0.00110857492873433,2.9552349475327127
ACVR2A,264.656574959309,413.811146286703,198.365654369356,0.479362762819156,-1.0608102509455,0.0128712799758768,0.0443752097151601,1.3528595814766446
ACVRL1,150.819590138327,423.354400959674,29.6930075510625,0.0701374722543417,-3.83367075279449,5.00933942432286e-09,6.86421505866646e-08,7.163409118322375
ACY3,634.534903852896,40.085023230206,898.734850796314,22.4207142312212,4.48676033205962,4.93873906900023e-30,5.7009805989953e-28,27.244050436940725
ADAM11,84.5369283969068,30.6537126980957,108.485024263045,3.53905007629906,1.82336217552895,0.0036464292391423,0.0152812092897748,1.815842276186042
ADAM12,142.708935597502,424.640200991893,17.406150977773,0.0409903512128974,-4.60857183847159,1.0252300288444e-10,1.76064403584606e-09,8.754328440111353
ADAM19,880.636956138219,1343.60580072617,674.873025210243,0.502284989276989,-0.99342193399117,0.000998353123854927,0.00494869663726958,2.3055091682939066
ADAM23,99.8148579648124,251.574509700188,32.3661238602011,0.12865422613274,-2.95842924628355,3.35624907434047e-05,0.000234267500674552,3.630287955776409
ADAM33,284.487364117363,66.5264173940467,381.358895994393,5.73244300434131,2.51915010566949,1.16478617071407e-08,1.49660609908981e-07,6.824892489237499
ADAM8,1246.79495464715,413.865031730868,1616.98603149884,3.90703709549046,1.96607495330148,8.01515246553281e-09,1.06196982289073e-07,6.973887824062687
ADAM9,1092.78565628757,559.591046390279,1329.76103846414,2.37630864010771,1.24872222866184,0.000165375741098655,0.000982720279237367,3.0075700818333795
ADAMTS1,629.385473063771,259.748127597711,793.668737715353,3.05553208431423,1.61142362998192,1.85930569461964e-06,1.69907087530496e-05,4.769788504525986
ADAMTS13,138.862866569549,72.3273144445757,168.434223069537,2.32877750768152,1.2195728104815,0.0173446830433927,0.0567151310712105,1.2463010599066058
ADAMTS14,68.3233172706922,143.877839687146,34.7435295300462,0.241479366145572,-2.05002817552089,0.00443114878008819,0.0180674356018837,1.743103484571567
ADAMTS15,99.4715415528995,197.545389585453,55.8831646495422,0.28288771895316,-1.82169854872923,0.00357491363014701,0.0150399577633256,1.8227533833707317
ADAMTS18,76.3657675730651,158.207763705139,39.9915470699212,0.252778663532947,-1.98405340081179,0.00441085670879819,0.0179951656996313,1.7448441500055567
ADAMTS19,130.831128849234,35.1845241608097,173.340730932978,4.92661859346826,2.30059778611915,2.69227076339038e-05,0.000191186684707226,3.718542357664226
ADAMTS2,134.097236671368,259.056878975523,78.5596178695213,0.303252390672645,-1.72140907609401,0.00112692676482076,0.00549661078262261,2.2599050145248714
ADAMTS9,214.703859588195,410.473201700829,127.695263093691,0.311092813281293,-1.68458302808707,0.000173064703139419,0.00102320582395967,2.9900369965724547
ADAMTSL3,90.1083536097995,280.667975176561,5.41518846901667,0.0192939307222711,-5.69570909844404,1.67529314250296e-08,2.10621159386606e-07,6.676498000941436
ADAMTSL4,479.825430636721,199.69733187506,604.326807864127,3.02621373149954,1.5975138839477,6.16406178916904e-05,0.000401709986799496,3.396087371260613
ADAP1,326.13505574016,120.515974808632,417.52131393195,3.46444788414925,1.79262545387277,1.12357053625346e-05,8.68258642624088e-05,4.061350885039636
ADAT2,964.113496642717,417.255504149259,1207.16149330648,2.89309902757965,1.53261570596815,3.66902666088205e-06,3.1457135004431e-05,4.50228083379237
ADCK3,1529.85669335888,934.342616185725,1794.52961654695,1.92063337951209,0.941582156151676,0.00218114153964584,0.009866163957004,2.0058516716601686
ADCY4,199.500965626915,102.061662738147,242.807322466367,2.37902573750264,1.25037087965147,0.00762924141833171,0.0287413883908019,1.54149225652538
ADCY6,300.073145767934,178.662147828835,354.033589296422,1.98158140153783,0.986652233105949,0.0196102791827306,0.0627905193201272,1.2021059250172539
ADCY7,6344.28764225823,4160.19964645642,7314.99341817015,1.75832749382615,0.814203801833049,0.00315609785247519,0.0135008177284093,1.8696399260101355
ADCY9,150.506787986242,298.545640712507,84.7117423301238,0.283748046455983,-1.81731763509339,0.000565154109353604,0.00297384771205661,2.5266812750564567
ADD2,791.373858199781,58.3256496920972,1117.17306198097,19.1540611699752,4.25957840915793,4.45343020105554e-27,3.92630091562242e-25,24.406016418697742
ADD3,8751.83872972055,11822.1567218056,7387.25295546051,0.6248650842054,-0.678383366487186,0.0281089336429244,0.0843531899045755,1.0738984894618124
ADH5,2856.16127594505,3791.57275186157,2440.42284220438,0.643643944589007,-0.635665265910645,0.0287335333726608,0.0858511196928422,1.0662540362834758
ADM,456.786938515271,48.6484046706288,638.181842446223,13.1182481063253,3.7135031611029,4.24785702797519e-19,1.77221606601655e-17,16.751483330666638
ADORA2A,2127.39529064399,4702.58270492538,982.867550963379,0.209005904337195,-2.25838439642009,1.09756379822602e-12,2.39279149666132e-11,10.621095143340007
ADRB2,353.984311559176,104.502189768595,464.865254577213,4.448378121134,2.15327942526901,5.38235992183161e-07,5.34801932803612e-06,5.271807031843063
ADRBK1,10070.027700615,6807.29655371024,11520.1304325727,1.69232092970796,0.759003185357176,0.00968335530734555,0.0351206402841837,1.45443757507365
ADRBK2,5880.96141967475,3671.46580857638,6862.9594690518,1.86926961243115,0.902474669920297,0.00131614582695241,0.00633575968482792,2.1982013038826502
AFAP1,502.053529524585,741.172267323105,395.778534947466,0.533989940526108,-0.905115530670778,0.0234150233818183,0.072778669127789,1.137995890433516
AFAP1-AS1,256.527082927236,107.186910842439,322.900492742702,3.01249928937083,1.59096090102018,6.09500196638654e-05,0.000398692195822709,3.399362265326582
AFAP1L1,155.122431793791,465.119373607148,17.3460132100767,0.0372936802772864,-4.74492501519468,3.67472491550264e-11,6.68123137036525e-10,9.175143488411988
AFAP1L2,2058.49795195553,873.267038375252,2585.2672468801,2.96045440085555,1.56581863245798,1.03226031107687e-08,1.3398356519144e-07,6.872948470175542
AFF3,2874.45122716499,2055.58652533212,3238.39109464626,1.57540976978483,0.65572712762634,0.0145198681340177,0.048986645367668,1.3099223002496105
